antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
Nuggets,Chicken Rice,0.10606060606060606,0.20454545454545456,0.05303030303030303,0.5,2.444444444444444,0.03133608815426997,1.5909090909090908,0.5,1.0,0.7222222222222218,0.0,62.0,1.0,0.6805555555555554,0.6805555555555554,0.6805555555555554,"('Nuggets',)=>('Chicken Rice',)"
Extra Rice,Sisig Rice,0.09848484848484848,0.16666666666666666,0.045454545454545456,0.46153846153846156,2.7692307692307696,0.029040404040404044,1.5476190476190477,0.0,0.7179487179487181,1.0,0.0,55.0,0.6666666666666666,0.532051282051282,0.532051282051282,0.5320512820512819,"('Extra Rice',)=>('Sisig Rice',)"
Extra Rice,Chicken Rice,0.09848484848484848,0.20454545454545456,0.045454545454545456,0.46153846153846156,2.2564102564102564,0.025309917355371903,1.4772727272727273,0.0,0.7179487179487181,0.5614035087719296,0.0,50.0,0.42857142857142855,0.3985926354347407,0.3985926354347407,0.39859263543474066,"('Extra Rice',)=>('Chicken Rice',)"
Extra Sauce,Burger,0.12878787878787878,0.19696969696969696,0.05303030303030303,0.411764705882353,2.090497737556561,0.027662993572084484,1.3651515151515152,0.5,0.3529411764705884,0.4195046439628482,0.0,41.0,0.0,0.3107585139318886,0.3107585139318886,0.3107585139318886,"('Extra Sauce',)=>('Burger',)"
Sisig Rice,Iced Tea,0.16666666666666666,0.22727272727272727,0.06060606060606061,0.36363636363636365,1.6,0.022727272727272735,1.2142857142857142,1.0,0.0,0.0,0.0,60.0,0.9047619047619048,0.2904761904761905,0.2904761904761905,0.2904761904761905,"('Sisig Rice',)=>('Iced Tea',)"
