antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Extra Rice, Iced Tea",Sisig Rice,0.026615969581749048,0.1634980988593156,0.015209125475285171,0.5714285714285715,3.4950166112956813,0.010857465049371828,1.951837769328264,1.0,1.0,1.0,0.0,70.0,1.0,0.85,0.85,0.85,"('Extra Rice', 'Iced Tea')=>('Sisig Rice',)"
"Extra Rice, Fries",Chicken Rice,0.026615969581749048,0.20532319391634982,0.015209125475285171,0.5714285714285715,2.7830687830687832,0.009744249591580042,1.854245880861851,1.0,1.0,0.0,0.0,70.0,1.0,0.6,0.6,0.6,"('Extra Rice', 'Fries')=>('Chicken Rice',)"
