antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
Cheese Stick,Iced Tea,0.15166666666666667,0.26,0.0575,0.3791208791208791,1.4581572273879966,0.01806666666666667,1.191858407079646,1.0,1.0,1.0,0.0,31.0,1.0,0.85,0.0,0.595,"('Cheese Stick',)=>('Iced Tea',)"
"Donut, Iced Tea",Chicken Rice,0.0575,0.22,0.03,0.5217391304347826,2.3715415019762847,0.017349999999999997,1.6309090909090909,1.0,1.0,1.0,0.0,69.0,1.0,0.0,0.85,0.255,"('Donut', 'Iced Tea')=>('Chicken Rice',)"
"Chicken Rice, Donut",Iced Tea,0.0575,0.2475,0.03,0.5217391304347826,2.1080368906455864,0.015768749999999998,1.5734090909090908,1.0,1.0,0.0,0.0,69.0,1.0,0.0,0.6,0.18,"('Chicken Rice', 'Donut')=>('Iced Tea',)"
