antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Nuggets, Sisig Rice",Iced Tea,0.0288135593220339,0.211864406779661,0.01440677966101695,0.5,2.3600000000000003,0.008302212008043666,1.576271186440678,1.0,1.0,1.0,0.0,82.0,1.0,0.85,0.0,0.595,"('Nuggets', 'Sisig Rice')=>('Iced Tea',)"
Sundae,Fries,0.09,0.1825,0.0325,0.36111111111111116,1.9786910197869105,0.016075000000000002,1.2795652173913044,1.0,1.0,1.0,0.0,40.0,0.0,0.0,0.75,0.22499999999999998,"('Sundae',)=>('Fries',)"
Lumpia,Chicken Rice,0.09,0.22,0.0325,0.36111111111111116,1.6414141414141417,0.012700000000000003,1.2208695652173915,1.0,1.0,0.0,0.0,58.0,1.0,0.0,0.6,0.18,"('Lumpia',)=>('Chicken Rice',)"
