antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Extra Sauce, Sisig Rice",Iced Tea,0.018963337547408345,0.2111251580278129,0.011378002528445006,0.6,2.8419161676646705,0.007374364892013662,1.9721871049304678,1.0,1.0,0.0,0.0,66.0,1.0,0.6,0.85,0.675,"('Extra Sauce', 'Sisig Rice')=>('Iced Tea',)"
"Extra Sauce, Iced Tea",Sisig Rice,0.018963337547408345,0.1706700379266751,0.011378002528445006,0.6,3.5155555555555553,0.008141528990012482,2.0733249051833123,1.0,1.0,1.0,0.0,66.0,1.0,0.85,0.0,0.595,"('Extra Sauce', 'Iced Tea')=>('Sisig Rice',)"
